asset.name,asset.operating_systems,compliance.audit_description,compliance.audit_file,compliance.audit_name,compliance.audit_see_also,compliance.audit_solution,compliance.info,compliance.references,compliance_result,definition.id,definition.output,definition.synopsis,first_seen,id,last_fixed,last_observed,original_compliance_result
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"907, Audit syscalls criticos",,Adicionar regras auditd para syscalls criticos.,setuid/setgid/socket/connect devem ser rastreados conforme baseline.,,FAILED,21157,"The command 'sh -c 'grep -RE ""setuid|setgid|socket|connect"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'' returned : 

FAIL",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,04a799e4-a219-5753-8b7a-c080dc3179ca,,2026-05-26T22:32:29.788Z,FAILED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"502, /var/tmp com noexec,nodev,nosuid",,"Configurar /var/tmp em fstab com noexec,nodev,nosuid.","/var/tmp deve restringir execucao, devices e suid quando compativel.",,FAILED,21157,"The command 'sh -c 'findmnt -n /var/tmp -o OPTIONS 2>/dev/null | grep -Eq ""(^|,)noexec(,|$)"" && findmnt -n /var/tmp -o OPTIONS 2>/dev/null | grep -Eq ""(^|,)nodev(,|$)"" && findmnt -n /var/tmp -o OPTIONS 2>/dev/null | grep -Eq ""(^|,)nosuid(,|$)"" && echo PASS || echo FAIL'' returned : 

FAIL",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,06ab1af1-df69-5415-aa31-876ead1bd00f,,2026-05-26T22:32:29.788Z,FAILED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"908, Audit /etc/sudoers changes",,Adicionar regras auditd para /etc/sudoers e /etc/sudoers.d.,Mudancas em politica sudo devem ser auditadas.,,PASSED,21157,"The command 'sh -c 'grep -RE ""(/etc/sudoers|/etc/sudoers\.d|sudoers)"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'' returned : 

PASS",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,084eda7c-c5bb-57cd-a835-0205efbd38d6,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"1008, UFW instalado e ativo",,Instalar/ativar ufw ou registrar evidencia de firewall corporativo.,Firewall application base deve estar ativo ou haver controle equivalente.,,FAILED,21157,"The command 'sh -c '(dpkg -s ufw >/dev/null 2>&1 && ufw status 2>/dev/null | grep -Eiq ""Status:[[:space:]]+active"") || test -f /etc/vdi-hardening/evidence/corporate-firewall; [ $? -eq 0 ] && echo PASS || echo FAIL'' returned : 

FAIL",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,08a5fba0-ad2c-5880-b981-539d7e458698,,2026-05-26T22:32:29.788Z,FAILED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"1301, Copy/paste restringido entre sessoes",,Aplicar policy Citrix e registrar evidencia local.,Restricao de clipboard entre sessoes depende de Citrix policy.,,FAILED,21157,"The command 'sh -c 'test -f /etc/vdi-hardening/evidence/citrix-copy-paste-restricted && echo PASS || echo FAIL'' returned : 

FAIL",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,0fc36b9b-b8ed-58be-b900-2fc3e5860006,,2026-05-26T22:32:29.788Z,FAILED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"601, IP forwarding desabilitado",,Configurar net.ipv4.ip_forward=0.,Host VDI nao deve rotear trafego.,,PASSED,21157,"The command 'sysctl -n net.ipv4.ip_forward' returned : 

0",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,0fea44a2-fa3a-5029-b603-29651139f145,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"901, File integrity baseline credenciais",,"Instalar/configurar AIDE para ~/.ssh, ~/.aws e ~/.docker.",AIDE/tripwire deve monitorar diretorios sensiveis de usuarios.,,FAILED,21157,"The command 'sh -c 'dpkg -s aide >/dev/null 2>&1 && grep -RE ""\.ssh|\.aws|\.docker"" /etc/aide/aide.conf /etc/aide/aide.conf.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'' returned : 

FAIL",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,12fa98a9-1f11-5853-948d-4ea6d274e0d8,,2026-05-26T22:32:29.788Z,FAILED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"1102, CUPS desabilitado",,Desabilitar cups.,Servico de impressao local deve estar desabilitado quando nao aprovado.,,PASSED,21157,"The command 'sh -c 'systemctl is-enabled cups 2>/dev/null | grep -Eq ""^(enabled|static)$"" && echo FAIL || echo PASS'' returned : 

PASS",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,1584e8d1-fff7-513e-a00f-0b50e0e9929c,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"301, Docker sem --privileged",,Usar Docker rootless; manter docker.service/socket rootful desabilitados e grupo docker vazio.,Containers privilegiados nao devem ser permitidos por padrao.,,PASSED,21157,"The command 'sh -c '! systemctl is-enabled docker.service docker.socket 2>/dev/null | grep -q enabled && ( ! getent group docker >/dev/null || [ -z ""$(getent group docker | cut -d: -f4)"" ] ) && echo PASS || echo FAIL'' returned : 

PASS",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,18148fd1-224c-5f02-84b0-ebfece198e12,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"202, ~/.aws permissoes 700/600",,Corrigir ~/.aws para dir 700 e arquivos 600.,Credenciais/configuracoes AWS devem ficar isoladas por usuario.,,FAILED,21157,"The command 'sh -c 'find /home -mindepth 2 -maxdepth 2 -type d -name .aws ! -perm 0700 -print -quit 2>/dev/null | grep -q . && echo FAIL && exit 0; find /home -path ""*/.aws/*"" -type f ! -perm 0600 -print -quit 2>/dev/null | grep -q . && echo FAIL || echo PASS'' returned : 

FAIL",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,1d4224a7-eb03-539c-8b65-887f593f565d,,2026-05-26T22:32:29.788Z,FAILED
